speaker_ID,speaker_gender,non_likable,secure,attractive,unsympathetic,indecisive,unobtrusive,distant,bored,emotional,not_irritated,active,pleasant,characterless,sociable,relaxed,affectionate,dominant,unaffected,hearty,old,personal,calm,incompetent,ugly,friendly,masculine,submissive,indifferent,interesting,cynical,artificial,intelligent,childish,modest
152,female,56.9375,31.5625,38.5625,54.625,64.625,73.0625,68.625,67.3125,35.0,53.3125,30.625,51.875,69.8125,31.4375,42.6875,34.875,32.875,60.75,36.9375,43.125,37.5625,62.625,63.375,50.125,59.9375,39.875,66.375,68.5,31.8125,32.375,40.5,51.625,52.75,69.8125
153,female,37.07692307692308,63.84615384615385,53.15384615384615,34.38461538461539,31.384615384615383,44.46153846153846,47.92307692307692,39.69230769230769,52.53846153846154,57.69230769230769,61.30769230769231,51.0,42.15384615384615,56.76923076923077,58.38461538461539,47.23076923076923,57.61538461538461,55.15384615384615,60.07692307692308,39.61538461538461,31.76923076923077,50.38461538461539,35.15384615384615,46.38461538461539,63.15384615384615,10.846153846153847,45.07692307692308,33.30769230769231,52.53846153846154,49.15384615384615,42.46153846153846,62.69230769230769,37.0,51.84615384615385
154,male,52.6,57.86666666666667,48.733333333333334,37.46666666666667,39.6,64.13333333333334,37.86666666666667,40.333333333333336,55.0,67.46666666666667,58.733333333333334,62.86666666666667,42.46666666666667,53.53333333333333,61.93333333333333,51.0,53.4,61.2,59.0,42.266666666666666,37.733333333333334,60.666666666666664,39.13333333333333,47.53333333333333,63.2,85.2,54.86666666666667,45.53333333333333,50.46666666666667,37.13333333333333,39.666666666666664,52.4,37.666666666666664,60.8
155,male,43.625,42.875,43.25,37.75,48.9375,63.25,38.875,46.1875,50.875,65.8125,40.25,62.4375,53.125,43.5625,49.375,57.375,37.1875,51.3125,54.4,32.125,43.8125,50.75,50.625,49.1875,62.6875,72.75,68.3125,50.8125,41.5625,34.75,49.1875,50.6875,52.6875,68.0625
156,female,35.875,63.8125,58.1875,39.3125,34.125,45.5,41.25,36.5,54.0,61.0,72.625,51.0,40.375,59.875,58.1875,59.125,60.4375,55.375,60.0,40.625,41.5625,51.8125,33.75,35.3125,65.5,9.9375,46.9375,41.5625,55.625,50.375,49.75,58.125,45.0625,46.5
157,female,45.4375,47.5625,53.0,37.75,47.9375,66.9375,56.125,54.6875,42.75,60.5625,43.8125,53.25,55.9375,41.375,50.8125,42.6875,43.375,55.0,50.0,45.1875,34.9375,67.25,40.6875,41.375,60.5,15.1875,58.9375,54.8125,44.0625,39.6875,45.5,56.6875,41.9375,62.125
158,male,34.785714285714285,65.78571428571429,54.714285714285715,29.928571428571427,36.642857142857146,68.85714285714286,37.857142857142854,41.0,42.214285714285715,71.35714285714286,69.5,60.07142857142857,37.92857142857143,62.642857142857146,64.57142857142857,57.785714285714285,62.0,66.92857142857143,61.142857142857146,53.285714285714285,30.357142857142858,68.57142857142857,35.214285714285715,42.214285714285715,68.85714285714286,80.85714285714286,49.357142857142854,45.42857142857143,55.214285714285715,48.142857142857146,40.142857142857146,65.57142857142857,34.357142857142854,49.07142857142857
159,female,44.5625,47.5625,54.75,40.6875,49.625,70.25,51.0625,53.5,40.75,62.25,53.25,64.625,43.875,35.375,57.875,49.125,44.5625,61.6875,52.375,41.8125,37.6875,57.1875,47.75,40.375,60.625,20.0,61.0,49.9375,43.75,36.8125,38.3125,55.75,36.4375,58.375
160,female,40.46666666666667,58.8,55.4,35.53333333333333,40.8,67.2,44.0,40.13333333333333,60.93333333333333,62.06666666666667,56.46666666666667,67.73333333333333,41.333333333333336,61.53333333333333,67.66666666666667,57.06666666666667,47.13333333333333,64.86666666666666,56.357142857142854,24.8,41.86666666666667,62.06666666666667,44.266666666666666,39.333333333333336,69.2,19.266666666666666,56.4,39.93333333333333,53.2,35.46666666666667,32.53333333333333,59.93333333333333,50.733333333333334,58.8
161,female,46.1875,63.3125,44.4375,42.8125,35.5,48.0,50.4375,49.8125,43.8125,44.25,53.6875,44.5625,44.125,44.0,57.3125,41.25,57.25,57.625,43.2,58.875,39.9375,57.625,44.75,49.9375,51.8125,18.8125,45.875,53.125,44.75,53.625,45.625,59.6875,24.5625,45.8125
